,tweet_id,in_reply_to_status_id,in_reply_to_user_id,text,expanded_urls,rating_numerator,rating_denominator,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
342,832088576586297345,8.320875475599974e+17,30582082.0,@docmisterio account started on 11/15/15,,11,15,Twitter for iPhone,,None,,,,,,,,,,,,,,0.7333333333333333
346,831926988323639298,8.319030442248356e+17,20683724.0,@UNC can confirm 12/10,,12,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
387,826598799820865537,8.265983652700078e+17,4196983835.0,"I was going to do 007/10, but the joke wasn't worth the &lt;10 rating",,7,10,Twitter for iPhone,,None,,,,,,,,,,,,4841.0,229.0,0.7
409,823333489516937216,8.233263893362442e+17,1582853809.0,@HistoryInPics 13/10,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,660.0,22.0,1.3
427,821153421864615936,8.21152592717697e+17,113211856.0,@imgur for a polar bear tho I'd say 13/10 is appropriate,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,234.0,9.0,1.3
498,813130366689148928,8.13127251579564e+17,4196983835.0,I've been informed by multiple sources that this is actually a dog elf who's tired from helping Santa all night. Pupgraded to 12/10,,12,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
513,811647686436880384,8.116272330434806e+17,4196983835.0,PUPDATE: I've been informed that Augie was actually bringing his family these flowers when he tripped. Very good boy. Pupgraded to 11/10,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.1
565,802265048156610565,7.33109485275861e+17,4196983835.0,"Like doggo, like pupper version 2. Both 11/10 https://t.co/9IxWAXFqze",https://twitter.com/dog_rates/status/802265048156610565/photo/1,11,10,Twitter for iPhone,pupper,None,https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg,1.0,Labrador_retriever,0.8971620000000001,True,beagle,0.016894799999999998,True,Rhodesian_ridgeback,0.0120606,True,,,1.1
570,801854953262350336,8.018543306724475e+17,11856342.0,.@NBCSports OMG THE TINY HAT I'M GOING TO HAVE TO SAY 11/10 NBC,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.1
576,800859414831898624,8.008579544172626e+17,291859009.0,@SkyWilliams doggo simply protecting you from evil that which you cannot see. 11/10 would give extra pets,,11,10,Twitter for iPhone,doggo,None,,,,,,,,,,,,,,1.1
611,797165961484890113,7.97123751162839e+17,29166305.0,@JODYHiGHROLLER it may be an 11/10 but what do I know 😉,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,212.0,24.0,1.1
701,786051337297522688,7.727430194476073e+17,7.305050141505823e+17,13/10 for breakdancing puppo @shibbnbot,,13,10,Twitter for iPhone,puppo,None,,,,,,,,,,,,1353.0,145.0,1.3
843,766714921925144576,7.667118193648886e+17,4196983835.0,His name is Charley and he already has a new set of wheels thanks to donations. I heard his top speed was also increased. 13/10 for Charley,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.3
857,763956972077010945,7.638651745539645e+17,15846407.0,@TheEllenShow I'm not sure if you know this but that doggo right there is a 12/10,,12,10,Twitter for iPhone,doggo,None,,,,,,,,,,,,,,1.2
967,750381685133418496,7.501804988324045e+17,4717297476.0,"13/10 such a good doggo
@spaghemily",,13,10,Twitter for iPhone,doggo,None,,,,,,,,,,,,669.0,26.0,1.3
1005,747651430853525504,7.476486538174136e+17,4196983835.0,Other pupper asked not to have his identity shared. Probably just embarrassed about the headbutt. Also 12/10 it'll be ok mystery pup,,12,10,Twitter for iPhone,pupper,None,,,,,,,,,,,,1269.0,143.0,1.2
1016,746906459439529985,7.468859193875743e+17,4196983835.0,"PUPDATE: can't see any. Even if I could, I couldn't reach them to pet. 0/10 much disappointment https://t.co/c7WXaB2nqX",https://twitter.com/dog_rates/status/746906459439529985/photo/1,0,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/Cl2LdofXEAATl7x.jpg,1.0,traffic_light,0.470708,False,fountain,0.199776,False,space_shuttle,0.064807,False,,,0.0
1018,746818907684614144,6.914168664520827e+17,4196983835.0,"Guys... Dog Jesus 2.0
13/10 buoyant af https://t.co/CuNA7OwfKQ",https://twitter.com/dog_rates/status/746818907684614144/photo/1,13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/Cl071YVWEAAlF7N.jpg,1.0,dingo,0.175518,False,timber_wolf,0.13364700000000002,False,Ibizan_hound,0.101537,True,,,1.3
1080,738891149612572673,7.384119198962852e+17,358972768.0,@mount_alex3 13/10,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.3
1127,729838605770891264,7.291135312709919e+17,4196983835.0,"""Challenge completed"" 
(pupgraded to 12/10) https://t.co/85dTK7XCXB",https://twitter.com/dog_rates/status/729838605770891264/video/1,12,10,Twitter for iPhone,,None,https://pbs.twimg.com/ext_tw_video_thumb/729838572744912896/pu/img/RIl-XYmRxW-YLFSV.jpg,1.0,stone_wall,0.7582180000000001,False,patio,0.07420539999999999,False,prison,0.013826,False,1601.0,338.0,1.2
1295,707983188426153984,7.079800658926674e+17,2319108198.0,@serial @MrRoles OH MY GOD I listened to all of season 1 during a single road trip. I love you guys! I can confirm Bernie's 12/10 rating :),,12,10,Twitter for iPhone,,None,,,,,,,,,,,,45.0,2.0,1.2
1330,705786532653883392,7.03255935813288e+17,4196983835.0,"Seriously, add us 🐶 11/10 for sad wet pupper https://t.co/xwPE9faVZR",https://twitter.com/dog_rates/status/705786532653883392/photo/1,11,10,Twitter for iPhone,pupper,None,https://pbs.twimg.com/media/Cct1G6vVAAI9ZjF.jpg,1.0,web_site,0.550294,False,Labrador_retriever,0.14849600000000002,True,golden_retriever,0.148482,True,,,1.1
1339,704871453724954624,6.671521640794235e+17,4196983835.0,I found a forest Pipsy. 12/10 https://t.co/mIQ1KoVsmU,https://twitter.com/dog_rates/status/704871453724954624/photo/1,12,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/Ccg02LiWEAAJHw1.jpg,1.0,Norfolk_terrier,0.689504,True,soft-coated_wheaten_terrier,0.10148,True,Norwich_terrier,0.0557785,True,3959.0,1014.0,1.2
1345,704491224099647488,7.044857446399099e+17,28785486.0,"13/10 hero af
@ABC",,13,10,Twitter for iPhone,,None,,,,,,,,,,,,688.0,71.0,1.3
1356,703425003149250560,7.030419496500347e+17,4196983835.0,"Really guys? Again? I know this is a rare Albanian Bingo Seal, but we only rate dogs. Only send in dogs... 9/10 https://t.co/6JYLpUmBrC",https://twitter.com/dog_rates/status/703425003149250560/photo/1,9,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CcMRSwUW8AAxxNC.jpg,1.0,miniature_pinscher,0.292866,True,sleeping_bag,0.142122,False,Italian_greyhound,0.070849,True,,,0.9
1446,696490539101908992,6.964887109012603e+17,4196983835.0,After reading the comments I may have overestimated this pup. Downgraded to a 1/10. Please forgive me,,1,10,Twitter for iPhone,,None,,,,,,,,,,,,,,0.1
1452,695767669421768709,6.75349384339542e+17,4196983835.0,If you are aware of who is making these please let me know. 13/10 vroom vroom https://t.co/U0D1sbIDrG,https://twitter.com/dog_rates/status/695767669421768709/photo/1,13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CafdAWCW0AE3Igl.jpg,1.0,soft-coated_wheaten_terrier,0.805139,True,Lakeland_terrier,0.121662,True,Afghan_hound,0.0233025,True,,,1.3
1464,694356675654983680,6.70668383499735e+17,4196983835.0,"This pupper only appears through the hole of a Funyun. Much like Phineas, this one is also mysterious af. 10/10 https://t.co/SQsEBWxPyG",https://twitter.com/dog_rates/status/694356675654983680/photo/1,10,10,Twitter for iPhone,pupper,None,https://pbs.twimg.com/media/CaLZtmsWQAApbFw.jpg,1.0,hamster,0.429871,False,Pomeranian,0.144272,True,pretzel,0.12722,False,,,1.0
1474,693644216740769793,6.936422321512858e+17,4196983835.0,BREAKING PUPDATE: I've just been notified that (if in U.S.) this dog appears to be operating the vehicle. Upgraded to 10/10. Skilled af,,10,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.0
1479,693582294167244802,6.935722159383675e+17,1198988510.0,"Personally I'd give him an 11/10. Not sure why you think you're qualified to rate such a stellar pup.
@CommonWhiteGirI",,11,10,Twitter for iPhone,,None,,,,,,,,,,,,1516.0,222.0,1.1
1497,692423280028966913,6.924173130233324e+17,4196983835.0,PUPDATE: just noticed this dog has some extra legs. Very advanced. Revolutionary af. Upgraded to a 9/10,,9,10,Twitter for iPhone,,None,,,,,,,,,,,,1370.0,197.0,0.9
1501,692142790915014657,6.920419346894029e+17,4196983835.0,These are some pictures of Teddy that further justify his 13/10 rating. Please enjoy https://t.co/tDkJAnQsbQ,"https://twitter.com/dog_rates/status/692142790915014657/photo/1,https://twitter.com/dog_rates/status/692142790915014657/photo/1,https://twitter.com/dog_rates/status/692142790915014657/photo/1,https://twitter.com/dog_rates/status/692142790915014657/photo/1",13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CZr8LvyXEAABJ9k.jpg,3.0,toy_poodle,0.670068,True,teddy,0.190898,False,miniature_poodle,0.0321779,True,1509.0,354.0,1.3
1523,690607260360429569,6.903412535490028e+17,467036706.0,12/10 @LightningHoltt,,12,10,Twitter for iPhone,,None,,,,,,,,,,,,279.0,14.0,1.2
1598,686035780142297088,6.860340248008622e+17,4196983835.0,"Yes I do realize a rating of 4/20 would've been fitting. However, it would be unjust to give these cooperative pups that low of a rating",,4,20,Twitter for iPhone,,None,,,,,,,,,,,,,,0.2
1605,685681090388975616,6.855479360386662e+17,4196983835.0,Jack deserves another round of applause. If you missed this earlier today I strongly suggest reading it. Wonderful first 14/10 🐶❤️,,14,10,Twitter for iPhone,,None,,,,,,,,,,,,1884.0,110.0,1.4
1618,684969860808454144,6.849597985851105e+17,4196983835.0,"For those who claim this is a goat, u are wrong. It is not the Greatest Of All Time. The rating of 5/10 should have made that clear. Thank u",,5,10,Twitter for iPhone,,None,,,,,,,,,,,,,,0.5
1630,684538444857667585,6.844810745593815e+17,4196983835.0,"After watching this video, we've determined that Pippa will be upgraded to a 12/10. Please enjoy https://t.co/IKoRK4yoxV",https://twitter.com/dog_rates/status/684538444857667585/video/1,12,10,Twitter for iPhone,,None,https://pbs.twimg.com/ext_tw_video_thumb/684538367950872576/pu/img/kTKOkSU45BS-fpq8.jpg,1.0,Chihuahua,0.702583,True,Siamese_cat,0.0682181,False,macaque,0.0433246,False,,,1.2
1634,684225744407494656,6.842228683355054e+17,4196983835.0,"Two sneaky puppers were not initially seen, moving the rating to 143/130. Please forgive us. Thank you https://t.co/kRK51Y5ac3","https://twitter.com/dog_rates/status/684225744407494656/photo/1,https://twitter.com/dog_rates/status/684225744407494656/photo/1",143,130,Twitter for iPhone,,None,https://pbs.twimg.com/media/CX7br3HWsAAQ9L1.jpg,2.0,golden_retriever,0.203249,True,Samoyed,0.06795810000000001,True,Great_Pyrenees,0.0653275,True,,,1.1
1663,682808988178739200,6.827884415375606e+17,4196983835.0,"I'm aware that I could've said 20/16, but here at WeRateDogs we are very professional. An inconsistent rating scale is simply irresponsible",,20,16,Twitter for iPhone,,None,,,,,,,,,,,,1623.0,154.0,1.25
1689,681340665377193984,6.813394486558024e+17,4196983835.0,I've been told there's a slight possibility he's checking his mirror. We'll bump to 9.5/10. Still a menace,,5,10,Twitter for iPhone,,None,,,,,,,,,,,,1518.0,246.0,0.5
1774,678023323247357953,6.780211157180293e+17,4196983835.0,After getting lost in Reese's eyes for several minutes we're going to upgrade him to a 13/10,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,1739.0,340.0,1.3
1819,676590572941893632,6.765883460978524e+17,4196983835.0,After some outrage from the crowd. Bubbles is being upgraded to a 7/10. That's as high as I'm going. Thank you,,7,10,Twitter for iPhone,,None,,,,,,,,,,,,,,0.7
1842,675870721063669760,6.75707330206548e+17,4196983835.0,&amp; this is Yoshi. Another world record contender 11/10 (what the hell is happening why are there so many contenders?) https://t.co/QG708dDNH6,https://twitter.com/dog_rates/status/675870721063669760/photo/1,11,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CWEs1b-WEAEhq82.jpg,1.0,golden_retriever,0.263892,True,Welsh_springer_spaniel,0.184193,True,beagle,0.182241,True,1465.0,496.0,1.1
1844,675849018447167488,6.758456573542154e+17,4196983835.0,This dog is being demoted to a 9/10 for not wearing a helmet while riding. Gotta stay safe out there. Thank you,,9,10,Twitter for iPhone,,None,,,,,,,,,,,,864.0,123.0,0.9
1852,675707330206547968,6.754971033223864e+17,4196983835.0,We've got ourselves a battle here. Watch out Reggie. 11/10 https://t.co/ALJvbtcwf0,https://twitter.com/dog_rates/status/675707330206547968/photo/1,11,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CWCYOqWUAAARmGr.jpg,1.0,bath_towel,0.721933,False,Staffordshire_bullterrier,0.0593442,True,bagel,0.035701599999999986,False,1785.0,597.0,1.1
1866,675349384339542016,6.749998076819087e+17,4196983835.0,Yea I lied. Here's more. All 13/10 https://t.co/ZQZf2U4xCP,"https://twitter.com/dog_rates/status/675349384339542016/photo/1,https://twitter.com/dog_rates/status/675349384339542016/photo/1,https://twitter.com/dog_rates/status/675349384339542016/photo/1,https://twitter.com/dog_rates/status/675349384339542016/photo/1",13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CV9SrABU4AQI46z.jpg,3.0,borzoi,0.866367,True,Saluki,0.122079,True,Irish_wolfhound,0.00401972,True,3521.0,1998.0,1.3
1882,674999807681908736,6.747933991411466e+17,4196983835.0,Ok last one of these. I may try to make some myself. Anyway here ya go. 13/10 https://t.co/i9CDd1oEu8,https://twitter.com/dog_rates/status/674999807681908736/photo/1,13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CV4UvgNUkAEEnZd.jpg,1.0,Rottweiler,0.591829,True,Doberman,0.204544,True,black-and-tan_coonhound,0.07860189999999999,True,1992.0,952.0,1.3
1885,674793399141146624,6.717299066283418e+17,4196983835.0,I have found another. 13/10 https://t.co/HwroPYv8pY,https://twitter.com/dog_rates/status/674793399141146624/photo/1,13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CV1ZA3oWEAA1HW_.jpg,1.0,giant_schnauzer,0.119693,True,Afghan_hound,0.0727627,True,miniature_schnauzer,0.0637859,True,,,1.3
1892,674754018082705410,6.747522332008202e+17,4196983835.0,Just received another perfect photo of dogs and the sunset. 12/10 https://t.co/9YmNcxA2Cc,https://twitter.com/dog_rates/status/674754018082705410/photo/1,12,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CV01M3ZWIAAV7rv.jpg,1.0,seashore,0.352321,False,promontory,0.131753,False,wreck,0.0955967,False,1229.0,382.0,1.2
1895,674742531037511680,6.747399531344036e+17,4196983835.0,Some clarification is required. The dog is singing Cher and that is more than worthy of an 11/10. Thank you,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.1
1905,674606911342424069,6.744688808997888e+17,4196983835.0,The 13/10 also takes into account this impeccable yard. Louis is great but the future dad in me can't ignore that luscious green grass,,13,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.3
1914,674330906434379776,6.658146967007232e+17,16374678.0,"13/10
@ABC7",,13,10,Twitter for iPhone,,None,,,,,,,,,,,,505.0,65.0,1.3
1940,673716320723169284,6.737158618537206e+17,4196983835.0,The millennials have spoken and we've decided to immediately demote to a 1/10. Thank you,,1,10,Twitter for iPhone,,None,,,,,,,,,,,,2779.0,669.0,0.1
2036,671729906628341761,6.715610021362811e+17,4196983835.0,I'm just going to leave this one here as well. 13/10 https://t.co/DaD5SyajWt,https://twitter.com/dog_rates/status/671729906628341761/photo/1,13,10,Twitter for iPhone,,None,https://pbs.twimg.com/media/CVJ2yR2UwAAdCzU.jpg,1.0,kuvasz,0.431469,True,Samoyed,0.117122,True,white_wolf,0.09006660000000001,False,7479.0,3790.0,1.3
2038,671550332464455680,6.715448741650022e+17,4196983835.0,After 22 minutes of careful deliberation this dog is being demoted to a 1/10. The longer you look at him the more terrifying he becomes,,1,10,Twitter for iPhone,,None,,,,,,,,,,,,808.0,183.0,0.1
2149,669684865554620416,6.693543826270495e+17,4196983835.0,After countless hours of research and hundreds of formula alterations we have concluded that Dug should be bumped to an 11/10,,11,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.1
2169,669353438988365824,6.678064545737605e+17,4196983835.0,This is Tessa. She is also very pleased after finally meeting her biological father. 10/10 https://t.co/qDS1aCqppv,https://twitter.com/dog_rates/status/669353438988365824/photo/1,10,10,Twitter for iPhone,,Tessa,https://pbs.twimg.com/media/CUoFZTyW4AE70iD.jpg,1.0,teddy,0.379656,False,Pembroke,0.212343,True,chow,0.0969953,True,,,1.0
2189,668967877119254528,6.689207171325829e+17,21435658.0,"12/10 good shit Bubka
@wane15",,12,10,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
2298,667070482143944705,6.670655355705508e+17,4196983835.0,After much debate this dog is being upgraded to 10/10. I repeat 10/10,,10,10,Twitter for iPhone,,None,,,,,,,,,,,,72.0,13.0,1.0
